StID,Object,Parent
286,D638-2014 Standard Test Method for Tensile Properties of Plastics,277
287,F725-03 Impact Test Requirements,277
288,F2136-08 NCLS Test,277
289,D1238-2013 Standard Test Method for Melt Flow Rates of Thermoplastics by Extrusion Plastometer,277
290,D1599-14 Quick Burst Test,277
291,D2152-13 Acetone Immerison Test for PVC,277
292,D2444-99 Falling Tup Test Method,277
293,F1473-13 PENT Test,277
294,D792-2013 Standard Test Methods for Density and Specific Gravity of Plastics by Displacement,277
296,PEX,1
297,F2098-08 SS Clamps for DR 9 PEX,296
298,F1961-09 Metal Cold Flare Compression Ftgs for PEX,296
299,F2023-13 ORP Testing of PEX,296
300,F2159-14 Plastic Insert Fittings for PEX and PERT,296
301,F1865-09 Cold Expansion Fittings for PEX,296
302,F2929-13 PEX For Radiant Heating,296
303,F2657-07 Outdoor Weathering of PEX,296
304,F2788-13 Metric and Inch PEX Pipe,296
305,F2829-10 Metric PEX Systems,296
306,F2905-13 Black PEX for Oil and Gas,296
307,F1055-13 EF Fittings for PE and PEX,296
308,F2080-12 Cold Exp Ftgs for PEX,296
309,F2818-10 PEX Gas Pipe,296
310,F2854-10 Push Fit Ftgs for PEX,296
311,F2434-14 Metal Insert Ftgs for PEX and PEX-AL-PEX,296
312,F1960-14 Cold Exp Ftgs for PEX,296
